Iteration,Alpha,MSE
1,0.001,0.005135816362513729
2,0.01,0.00513519252660621
3,0.1,0.0051291686461802325
4,0.5,0.005107398736827399
5,1.0,0.00508988446857059
6,5.0,0.0050966061093479734
7,10.0,0.005198235076569644
