Iteration,Alpha,MSE
1,0.001,0.006263929886120456
2,0.01,0.006263803417938336
3,0.1,0.006262549822965615
4,0.5,0.006257218357521205
5,1.0,0.006251088338664467
6,5.0,0.006220534321684603
7,10.0,0.00621788527680535
