Iteration,N-Estimators,Criterion,MSE
1,100,squared_error,0.03873332120193461
2,100,friedman_mse,0.03875825123261998
3,100,poisson,0.03824315189411908
4,150,squared_error,0.03896400664792033
5,150,friedman_mse,0.03898944644406781
6,150,poisson,0.03833070258935585
7,200,squared_error,0.038882261166441036
8,200,friedman_mse,0.0388547523833024
9,200,poisson,0.03836256867471799
10,250,squared_error,0.03904335531879458
11,250,friedman_mse,0.038985633652657316
12,250,poisson,0.038554702249207484
